filename,track,measure_st,measure_end,set
774.npy,0,0,16,train
774.npy,0,1,17,train
774.npy,0,2,18,train
774.npy,0,3,19,train
774.npy,0,4,20,train
774.npy,0,5,21,train
774.npy,0,6,22,train
774.npy,0,7,23,train
774.npy,0,8,24,train
774.npy,0,9,25,train
774.npy,0,10,26,train
774.npy,0,11,27,train
774.npy,0,12,28,train
774.npy,0,13,29,train
774.npy,0,14,30,train
774.npy,0,15,31,train
774.npy,0,16,32,train
774.npy,0,17,33,train
774.npy,0,18,34,train
774.npy,0,19,35,train
774.npy,0,20,36,train
774.npy,0,21,37,train
774.npy,0,22,38,train
774.npy,0,23,39,train
774.npy,0,24,40,train
774.npy,0,25,41,train
774.npy,0,26,42,train
774.npy,0,27,43,train
774.npy,0,28,44,train
774.npy,0,29,45,train
774.npy,0,30,46,train
774.npy,0,31,47,train
774.npy,0,32,48,train
774.npy,0,33,49,train
774.npy,0,34,50,train
774.npy,0,35,51,train
774.npy,0,36,52,train
774.npy,0,37,53,train
774.npy,0,38,54,train
774.npy,0,39,55,train
774.npy,0,40,56,train
774.npy,0,41,57,train
774.npy,0,42,58,train
774.npy,0,43,59,train
774.npy,0,44,60,train
774.npy,0,45,61,train
774.npy,0,46,62,train
774.npy,0,47,63,train
774.npy,0,48,64,train
774.npy,0,49,65,train
774.npy,0,50,66,train
774.npy,0,51,67,train
774.npy,0,52,68,train
774.npy,0,53,69,train
774.npy,0,54,70,train
774.npy,0,55,71,train
774.npy,0,56,72,train
774.npy,0,57,73,train
774.npy,0,58,74,train
774.npy,0,59,75,train
774.npy,0,60,76,train
774.npy,0,61,77,train
774.npy,0,62,78,train
774.npy,0,63,79,train
774.npy,0,64,80,train
774.npy,0,65,81,train
774.npy,0,66,82,train
774.npy,0,67,83,train
774.npy,0,68,84,train
774.npy,0,69,85,train
774.npy,0,70,86,train
774.npy,0,71,87,train
774.npy,0,72,88,train
774.npy,0,73,89,train
774.npy,0,74,90,train
774.npy,0,75,91,train
774.npy,0,76,92,train
774.npy,0,77,93,train
774.npy,0,78,94,train
774.npy,0,79,95,train
774.npy,0,80,96,train
774.npy,0,81,97,train
774.npy,0,82,98,train
966.npy,0,0,16,val
966.npy,0,1,17,val
966.npy,0,2,18,val
966.npy,0,3,19,val
966.npy,0,4,20,val
966.npy,0,5,21,val
966.npy,0,6,22,val
966.npy,0,7,23,val
966.npy,0,8,24,val
966.npy,0,9,25,val
966.npy,0,10,26,val
966.npy,0,11,27,val
966.npy,0,12,28,val
966.npy,0,13,29,val
966.npy,0,14,30,val
966.npy,0,15,31,val
966.npy,0,16,32,val
966.npy,0,17,33,val
966.npy,0,18,34,val
966.npy,0,19,35,val
966.npy,0,20,36,val
966.npy,0,21,37,val
966.npy,0,22,38,val
966.npy,0,23,39,val
966.npy,0,24,40,val
966.npy,0,25,41,val
966.npy,0,26,42,val
966.npy,0,27,43,val
966.npy,0,28,44,val
966.npy,0,29,45,val
966.npy,0,30,46,val
966.npy,0,31,47,val
966.npy,0,32,48,val
966.npy,0,33,49,val
966.npy,0,34,50,val
966.npy,0,35,51,val
966.npy,0,36,52,val
966.npy,0,37,53,val
966.npy,0,38,54,val
966.npy,0,39,55,val
966.npy,0,40,56,val
966.npy,0,41,57,val
966.npy,0,42,58,val
966.npy,0,43,59,val
966.npy,0,44,60,val
966.npy,0,45,61,val
966.npy,0,46,62,val
966.npy,0,47,63,val
966.npy,0,48,64,val
966.npy,0,49,65,val
966.npy,0,50,66,val
966.npy,0,51,67,val
966.npy,0,52,68,val
966.npy,0,53,69,val
966.npy,0,54,70,val
966.npy,0,55,71,val
966.npy,0,56,72,val
966.npy,0,57,73,val
966.npy,0,58,74,val
966.npy,0,59,75,val
966.npy,0,60,76,val
966.npy,0,61,77,val
966.npy,0,62,78,val
966.npy,0,63,79,val
966.npy,0,64,80,val
966.npy,0,65,81,val
966.npy,0,66,82,val
966.npy,0,67,83,val
966.npy,0,68,84,val
966.npy,0,69,85,val
966.npy,0,70,86,val
966.npy,0,71,87,val
966.npy,0,72,88,val
