filename,track,measure,set
bwv1.csv,0,0,train
bwv1.csv,0,1,train
bwv1.csv,0,2,train
bwv1.csv,0,3,train
bwv1.csv,0,4,train
bwv1.csv,0,5,train
bwv1.csv,0,6,train
bwv1.csv,0,7,train
bwv1.csv,0,8,train
bwv1.csv,0,9,train
bwv1.csv,0,10,train
bwv1.csv,0,11,train
bwv1.csv,0,12,train
bwv1.csv,0,13,train
bwv1.csv,0,14,train
bwv1.csv,0,15,train
bwv1.csv,0,16,train
bwv1.csv,0,17,train
bwv1.csv,0,18,train
bwv1.csv,0,19,train
bwv1.csv,1,0,train
bwv1.csv,1,1,train
bwv1.csv,1,2,train
bwv1.csv,1,3,train
bwv1.csv,1,4,train
bwv1.csv,1,5,train
bwv1.csv,1,6,train
bwv1.csv,1,7,train
bwv1.csv,1,8,train
bwv1.csv,1,9,train
bwv1.csv,1,10,train
bwv1.csv,1,11,train
bwv1.csv,1,12,train
bwv1.csv,1,13,train
bwv1.csv,1,14,train
bwv1.csv,1,15,train
bwv1.csv,1,16,train
bwv1.csv,1,17,train
bwv1.csv,1,18,train
bwv1.csv,1,19,train
bwv1.csv,2,0,train
bwv1.csv,2,1,train
bwv1.csv,2,2,train
bwv1.csv,2,3,train
bwv1.csv,2,4,train
bwv1.csv,2,5,train
bwv1.csv,2,6,train
bwv1.csv,2,7,train
bwv1.csv,2,8,train
bwv1.csv,2,9,train
bwv1.csv,2,10,train
bwv1.csv,2,11,train
bwv1.csv,2,12,train
bwv1.csv,2,13,train
bwv1.csv,2,14,train
bwv1.csv,2,15,train
bwv1.csv,2,16,train
bwv1.csv,2,17,train
bwv1.csv,2,18,train
bwv1.csv,2,19,train
bwv1.csv,3,0,train
bwv1.csv,3,1,train
bwv1.csv,3,2,train
bwv1.csv,3,3,train
bwv1.csv,3,4,train
bwv1.csv,3,5,train
bwv1.csv,3,6,train
bwv1.csv,3,7,train
bwv1.csv,3,8,train
bwv1.csv,3,9,train
bwv1.csv,3,10,train
bwv1.csv,3,11,train
bwv1.csv,3,12,train
bwv1.csv,3,13,train
bwv1.csv,3,14,train
bwv1.csv,3,15,train
bwv1.csv,3,16,train
bwv1.csv,3,17,train
bwv1.csv,3,18,train
bwv1.csv,3,19,train
bwv1.csv,4,0,train
bwv1.csv,4,1,train
bwv1.csv,4,2,train
bwv1.csv,4,3,train
