filename,track,measure_st,measure_end,set
ashover10.npy,0,0,16,train
ashover10.npy,0,1,17,train
ashover10.npy,0,2,18,train
ashover10.npy,0,3,19,train
ashover10.npy,0,4,20,train
ashover10.npy,0,5,21,train
ashover10.npy,0,6,22,train
ashover10.npy,0,7,23,train
ashover10.npy,0,8,24,train
ashover10.npy,0,9,25,train
ashover10.npy,0,10,26,train
ashover10.npy,0,11,27,train
ashover10.npy,0,12,28,train
ashover10.npy,0,13,29,train
ashover10.npy,0,14,30,train
ashover10.npy,0,15,31,train
ashover10.npy,0,16,32,train
ashover10.npy,0,17,33,train
ashover10.npy,0,18,34,train
ashover10.npy,0,19,35,train
ashover10.npy,0,20,36,train
ashover10.npy,0,21,37,train
ashover10.npy,0,22,38,train
ashover10.npy,0,23,39,train
ashover10.npy,0,24,40,train
ashover10.npy,0,25,41,train
ashover10.npy,0,26,42,train
ashover10.npy,0,27,43,train
ashover10.npy,0,28,44,train
ashover10.npy,0,29,45,train
ashover10.npy,0,30,46,train
ashover10.npy,0,31,47,train
ashover10.npy,0,32,48,train
ashover10.npy,0,33,49,train
ashover10.npy,0,34,50,train
ashover10.npy,0,35,51,train
ashover10.npy,0,36,52,train
ashover10.npy,0,37,53,train
ashover10.npy,0,38,54,train
ashover10.npy,0,39,55,train
ashover10.npy,0,40,56,train
ashover10.npy,0,41,57,train
ashover10.npy,0,42,58,train
ashover10.npy,0,43,59,train
ashover10.npy,0,44,60,train
ashover10.npy,0,45,61,train
ashover10.npy,0,46,62,train
ashover10.npy,0,47,63,train
ashover10.npy,0,48,64,train
ashover12.npy,0,0,16,train
ashover12.npy,0,1,17,train
ashover12.npy,0,2,18,train
ashover12.npy,0,3,19,train
ashover12.npy,0,4,20,train
ashover12.npy,0,5,21,train
ashover12.npy,0,6,22,train
ashover12.npy,0,7,23,train
ashover12.npy,0,8,24,train
ashover12.npy,0,9,25,train
ashover12.npy,0,10,26,train
ashover12.npy,0,11,27,train
ashover12.npy,0,12,28,train
ashover12.npy,0,13,29,train
ashover12.npy,0,14,30,train
ashover12.npy,0,15,31,train
ashover12.npy,0,16,32,train
ashover13.npy,0,0,16,train
ashover13.npy,0,1,17,train
ashover13.npy,0,2,18,train
ashover13.npy,0,3,19,train
ashover13.npy,0,4,20,train
ashover13.npy,0,5,21,train
ashover13.npy,0,6,22,train
ashover13.npy,0,7,23,train
ashover13.npy,0,8,24,train
ashover13.npy,0,9,25,train
ashover13.npy,0,10,26,train
ashover13.npy,0,11,27,train
ashover13.npy,0,12,28,train
ashover13.npy,0,13,29,train
ashover13.npy,0,14,30,train
ashover13.npy,0,15,31,train
ashover17.npy,0,0,16,test
ashover17.npy,0,1,17,test
ashover17.npy,0,2,18,test
ashover17.npy,0,3,19,test
ashover17.npy,0,4,20,test
ashover17.npy,0,5,21,test
ashover17.npy,0,6,22,test
ashover17.npy,0,7,23,test
ashover17.npy,0,8,24,test
ashover17.npy,0,9,25,test
ashover17.npy,0,10,26,test
ashover17.npy,0,11,27,test
ashover17.npy,0,12,28,test
ashover17.npy,0,13,29,test
ashover17.npy,0,14,30,test
ashover17.npy,0,15,31,test
ashover17.npy,0,16,32,test
ashover17.npy,0,17,33,test
ashover17.npy,0,18,34,test
ashover17.npy,0,19,35,test
ashover17.npy,0,20,36,test
ashover17.npy,0,21,37,test
ashover17.npy,0,22,38,test
ashover17.npy,0,23,39,test
ashover17.npy,0,24,40,test
ashover17.npy,0,25,41,test
ashover17.npy,0,26,42,test
ashover17.npy,0,27,43,test
ashover17.npy,0,28,44,test
ashover17.npy,0,29,45,test
ashover17.npy,0,30,46,test
